Run #,tau_0_bas,tau_0_pris,tau_0_pyr,tau_0_twin,tau_1_bas,tau_1_pris,tau_1_pyr,theta_0_bas,theta_0_pris,theta_0_pyr,C45_R2,CND_R2,CRD_R2,CTD_R2,T45_R2,TRD_R2,TTD_R2,mean_R2,Objective Function
24,15.37401389,96.02990768,117.4543374,35.95559625,16.88305486,21.57059586,119.6444648,126.6498817,263.1102464,1172,0.501580213,0.93682222,0.941259513,0.874519016,0.724541967,-0.602937044,0.523507182,0.557041867,0.258840299
25,12.53220417,116.3128099,122.3726253,29.31258106,4.045700771,29.58226902,110.7591363,164.9716945,457.693904,2995.06,-0.310162772,0.611281874,0.648732945,0.516984651,-2.236496612,-10.80947623,-1.268275761,-1.835344558,2.612464771
26,15.35318532,111.5538262,129.057908,43.75486381,5.656565194,11.99552911,152.9221027,90.55466545,459.5729,1862.56,0.249225022,0.353821494,0.778409527,0.470533919,0.666843191,-1.203939062,0.551716526,0.26665866,0.531224344
27,8.318486305,95.40428779,113.6603342,33.69192035,7.839948119,15.65908293,141.1894408,120.5905241,285.0916304,2963.53,0.640582903,0.809830705,0.840541213,0.804715482,0.808889975,0.146157657,0.952488287,0.714743746,0.124277281
28,11.34497597,80.05493248,134.3167773,40.78583963,6.512291142,27.94895857,144.5326925,53.94628824,55.33058671,1513.01,0.207505182,0.89146469,0.620165956,0.920139643,-1.554943385,-10.77546734,0.148950467,-1.363169255,2.141725598
29,14.84953079,106.3639277,123.9853513,39.4243534,9.0443122,11.47823301,158.4176394,96.23132677,317.2353704,2621.58,0.166785886,0.050324683,0.687144358,0.302553182,0.876590553,0.041468821,0.715927227,0.405827816,0.398573516
30,9.712611582,85.74593729,110.2325475,27.82444495,1.283695735,2.110704204,113.2051575,147.9707027,499.2684825,1089.2,-0.161586577,0.145788895,0.424159405,0.615413552,-2.791380203,-15.30180846,-0.670601852,-2.534287891,3.309990545
31,15.61443503,118.2684062,118.6408789,47.33997101,7.454932479,13.97399863,114.1886015,32.60807202,237.2561227,1423.77,0.574281344,0.951527137,0.948259054,0.882994795,0.130608731,-3.481187446,0.232619452,0.034157581,0.756974939
32,13.89835966,116.6570535,131.3577478,47.31860838,2.966826886,10.25867094,126.6598001,32.70084688,237.4354162,1330.05,0.729133252,0.882259868,0.968507235,0.867955926,0.741399054,-0.681578367,0.670741479,0.596916921,0.22330956
33,17.95973144,105.2457465,114.5731289,40.13694972,3.541542687,12.97834745,141.3168536,133.8341344,447.2231632,1902.88,0.468586126,0.760085907,0.874430948,0.715054358,0.874997396,0.221656223,0.735616167,0.664346732,0.165272392
